label_mode,scope,x_m,y_m,best_feature,best_auc_effective,best_min_class_local,unstable_flag
material_class,B+C,0.75,-1.75,gamma_CP_rx2,0.862068965517241,1,1
material_class,B+C,1.5,-1.75,gamma_CP_rx2,0.857142857142857,2,1
material_class,B+C,2.25,-1.75,gamma_CP_rx2,0.857142857142857,2,1
material_class,B+C,3,-1.75,a_FP_RHCP_rx2,0.864197530864197,3,1
material_class,B+C,3.75,-1.75,gamma_CP_rx2,0.888888888888889,6,0
material_class,B+C,4.5,-1.75,gamma_CP_rx2,0.920634920634921,9,0
material_class,B+C,5.25,-1.75,gamma_CP_rx2,0.93,10,0
material_class,B+C,0.75,-1.25,gamma_CP_rx2,0.793103448275862,1,1
material_class,B+C,1.5,-1.25,gamma_CP_rx2,0.931034482758621,1,1
material_class,B+C,2.25,-1.25,gamma_CP_rx2,0.938271604938272,3,1
material_class,B+C,3,-1.25,gamma_CP_rx2,0.881944444444444,6,0
material_class,B+C,3.75,-1.25,a_FP_RHCP_rx2,0.931818181818182,8,0
material_class,B+C,4.5,-1.25,gamma_CP_rx2,0.920634920634921,9,0
material_class,B+C,5.25,-1.25,gamma_CP_rx2,0.92,10,0
material_class,B+C,0.75,-0.75,gamma_CP_rx1,0.724137931034483,1,1
material_class,B+C,1.5,-0.75,gamma_CP_rx2,0.862068965517241,1,1
material_class,B+C,2.25,-0.75,gamma_CP_rx2,0.923076923076923,4,1
material_class,B+C,3,-0.75,gamma_CP_rx2,0.869565217391304,7,0
material_class,B+C,3.75,-0.75,gamma_CP_rx2,0.888888888888889,9,0
material_class,B+C,4.5,-0.75,gamma_CP_rx2,0.909090909090909,11,0
material_class,B+C,5.25,-0.75,a_FP_RHCP_rx1,0.89,10,0
material_class,B+C,0.75,-0.25,gamma_CP_rx1,0.758620689655172,1,1
material_class,B+C,1.5,-0.25,gamma_CP_rx2,0.758620689655172,1,1
material_class,B+C,2.25,-0.25,a_FP_RHCP_rx2,0.884615384615385,4,1
material_class,B+C,3,-0.25,a_FP_RHCP_rx2,0.838509316770186,7,0
material_class,B+C,3.75,-0.25,a_FP_RHCP_rx2,0.862433862433862,9,0
material_class,B+C,4.5,-0.25,a_FP_RHCP_rx1,0.93,10,0
material_class,B+C,5.25,-0.25,a_FP_RHCP_rx1,0.875598086124402,11,0
material_class,B+C,0.75,0.25,gamma_CP_rx1,0.689655172413793,1,1
material_class,B+C,1.5,0.25,gamma_CP_rx1,0.758620689655172,1,1
material_class,B+C,2.25,0.25,a_FP_RHCP_rx1,0.875,4,1
material_class,B+C,3,0.25,a_FP_RHCP_rx1,0.888198757763975,7,0
material_class,B+C,3.75,0.25,a_FP_RHCP_rx1,0.941798941798942,9,0
material_class,B+C,4.5,0.25,a_FP_RHCP_rx1,0.968253968253968,9,0
material_class,B+C,5.25,0.25,a_FP_RHCP_rx1,0.968253968253968,9,0
material_class,B+C,0.75,0.75,gamma_CP_rx1,1,1,1
material_class,B+C,1.5,0.75,a_FP_LHCP_rx2,0.839506172839506,3,1
material_class,B+C,2.25,0.75,a_FP_RHCP_rx1,0.824,5,0
material_class,B+C,3,0.75,a_FP_RHCP_rx1,0.798611111111111,6,0
material_class,B+C,3.75,0.75,a_FP_RHCP_rx1,0.923611111111111,6,0
material_class,B+C,4.5,0.75,a_FP_RHCP_rx1,0.979166666666667,6,0
material_class,B+C,5.25,0.75,a_FP_RHCP_rx1,0.968944099378882,7,0
material_class,B+C,0.75,1.25,a_FP_LHCP_rx2,1,2,1
material_class,B+C,1.5,1.25,a_FP_LHCP_rx2,1,2,1
material_class,B+C,2.25,1.25,a_FP_RHCP_rx1,0.826923076923077,4,1
material_class,B+C,3,1.25,a_FP_RHCP_rx2,0.798076923076923,4,1
material_class,B+C,3.75,1.25,a_FP_RHCP_rx1,0.980769230769231,4,1
material_class,B+C,4.5,1.25,a_FP_RHCP_rx1,0.980769230769231,4,1
material_class,B+C,5.25,1.25,a_FP_RHCP_rx1,0.972222222222222,6,0
material_class,B+C,0.75,1.75,a_FP_RHCP_rx2,0.982142857142857,2,1
material_class,B+C,1.5,1.75,a_FP_RHCP_rx2,0.982142857142857,2,1
material_class,B+C,2.25,1.75,a_FP_RHCP_rx2,0.982142857142857,2,1
material_class,B+C,3,1.75,a_FP_RHCP_rx1,0.839506172839506,3,1
material_class,B+C,3.75,1.75,a_FP_RHCP_rx2,0.964285714285714,2,1
material_class,B+C,4.5,1.75,a_FP_RHCP_rx1,0.975308641975309,3,1
material_class,B+C,5.25,1.75,a_FP_RHCP_rx1,0.976,5,0
