scope,variant_name,dropped_features,n_features,n_samples,n_los,n_nlos,status,auc,brier_score,accuracy,delta_auc_vs_full,delta_brier_vs_full,delta_accuracy_vs_full
B,baseline,"all_cp7",5,56,35,21,ok,0.859863945578231,0.150371106276468,0.821428571428571,-0.0421768707482993,0.0252202866109535,0
B,full_proposed,"",11,56,35,21,ok,0.902040816326531,0.125150819665515,0.821428571428571,0,0,0
B,drop_gamma_rx2_only,"gamma_CP_rx2",10,56,35,21,ok,0.903401360544218,0.121380764404074,0.839285714285714,0.00136054421768705,-0.00377005526144079,0.0178571428571429
B,drop_gamma_both,"gamma_CP_rx1,gamma_CP_rx2",9,56,35,21,ok,0.907482993197279,0.126067795494134,0.785714285714286,0.00544217687074844,0.000916975828619299,-0.0357142857142857
B,drop_rx1_branch,"gamma_CP_rx1,a_FP_RHCP_rx1,a_FP_LHCP_rx1",8,56,35,21,ok,0.895238095238095,0.123080931478777,0.821428571428571,-0.00680272108843538,-0.00206988818673766,0
B,drop_lhcp_pair,"a_FP_LHCP_rx1,a_FP_LHCP_rx2",9,56,35,21,ok,0.887074829931973,0.135867175081486,0.803571428571429,-0.0149659863945577,0.0107163554159712,-0.0178571428571428
B,drop_rhcp_pair,"a_FP_RHCP_rx1,a_FP_RHCP_rx2",9,56,35,21,ok,0.895238095238095,0.123312083514537,0.821428571428571,-0.00680272108843527,-0.00183873615097775,0
C,baseline,"all_cp7",5,56,21,35,ok,0.779591836734694,0.196864059891828,0.714285714285714,-0.0857142857142856,0.0554090452154997,-0.0892857142857143
C,full_proposed,"",11,56,21,35,ok,0.86530612244898,0.141455014676328,0.803571428571429,0,0,0
C,drop_gamma_rx2_only,"gamma_CP_rx2",10,56,21,35,ok,0.854421768707483,0.153589332776893,0.803571428571429,-0.0108843537414967,0.0121343181005649,0
C,drop_gamma_both,"gamma_CP_rx1,gamma_CP_rx2",9,56,21,35,ok,0.839455782312925,0.164481947042508,0.785714285714286,-0.0258503401360546,0.0230269323661801,-0.0178571428571429
C,drop_rx1_branch,"gamma_CP_rx1,a_FP_RHCP_rx1,a_FP_LHCP_rx1",8,56,21,35,ok,0.861224489795918,0.149382285624992,0.785714285714286,-0.00408163265306127,0.00792727094866361,-0.0178571428571429
C,drop_lhcp_pair,"a_FP_LHCP_rx1,a_FP_LHCP_rx2",9,56,21,35,ok,0.851700680272109,0.152007717972087,0.803571428571429,-0.0136054421768708,0.0105527032957584,0
C,drop_rhcp_pair,"a_FP_RHCP_rx1,a_FP_RHCP_rx2",9,56,21,35,ok,0.857142857142857,0.150850000512637,0.803571428571429,-0.00816326530612244,0.0093949858363091,0
B+C,baseline,"all_cp7",5,112,56,56,ok,0.834821428571429,0.165148951542442,0.758928571428571,-0.0676020408163263,0.0413377526515152,-0.0714285714285715
B+C,full_proposed,"",11,112,56,56,ok,0.902423469387755,0.123811198890927,0.830357142857143,0,0,0
B+C,drop_gamma_rx2_only,"gamma_CP_rx2",10,112,56,56,ok,0.893813775510204,0.130458224798438,0.821428571428571,-0.00860969387755084,0.00664702590751101,-0.00892857142857151
B+C,drop_gamma_both,"gamma_CP_rx1,gamma_CP_rx2",9,112,56,56,ok,0.874681122448979,0.1390629387955,0.8125,-0.0277423469387754,0.0152517399045729,-0.0178571428571429
B+C,drop_rx1_branch,"gamma_CP_rx1,a_FP_RHCP_rx1,a_FP_LHCP_rx1",8,112,56,56,ok,0.884247448979592,0.134453771574677,0.821428571428571,-0.0181760204081634,0.0106425726837502,-0.00892857142857151
B+C,drop_lhcp_pair,"a_FP_LHCP_rx1,a_FP_LHCP_rx2",9,112,56,56,ok,0.882015306122449,0.137368111289273,0.8125,-0.020408163265306,0.0135569123983457,-0.0178571428571429
B+C,drop_rhcp_pair,"a_FP_RHCP_rx1,a_FP_RHCP_rx2",9,112,56,56,ok,0.893813775510204,0.122637318442305,0.857142857142857,-0.00860969387755095,-0.00117388044862211,0.0267857142857142
