model_name,feature_name,n_repeats,mean_auc_drop,median_auc_drop,std_auc_drop,p05_auc_drop,p95_auc_drop
logistic,a_FP_LHCP_rx1,100,0.0712755102040815,0.0715880102040815,0.0206686826114967,0.0392219387755099,0.103635204081633
logistic,gamma_CP_rx2,100,0.0388392857142856,0.0409757653061221,0.0152506612822989,0.0117984693877549,0.0605867346938774
logistic,a_FP_RHCP_rx1,100,0.0128635204081632,0.0130739795918367,0.00957568642976363,-0.00207270408163285,0.0275829081632652
logistic,gamma_CP_rx1,100,0.00848852040816323,0.00845025510204084,0.00930328998420472,-0.00685586734693883,0.0240752551020407
logistic,a_FP_LHCP_rx2,100,0.00291454081632646,0.00286989795918358,0.00685821077508304,-0.00749362244897972,0.0133928571428571
logistic,a_FP_RHCP_rx2,100,-0.00161670918367353,-0.00175382653061235,0.00266917382323518,-0.00558035714285715,0.00302933673469385
rf,gamma_CP_rx2,100,0.0505532525510204,0.0505420918367347,0.00898242537066856,0.035076530612245,0.0660076530612245
rf,a_FP_LHCP_rx2,100,0.0143463010204083,0.0139508928571431,0.0109794884780908,-0.00486288265306101,0.0297353316326533
rf,a_FP_LHCP_rx1,100,0.00225605867346951,0.00223214285714296,0.00639369088508715,-0.00733418367346933,0.0124362244897961
rf,a_FP_RHCP_rx1,100,0.000918367346938917,0.000956632653061396,0.00290273592636814,-0.00422512755102028,0.00510204081632659
rf,a_FP_RHCP_rx2,100,0.000640943877551178,0.000637755102040949,0.00187105847645726,-0.00239158163265291,0.00350765306122469
rf,gamma_CP_rx1,100,-0.00254145408163251,-0.00279017857142838,0.00481632218193885,-0.0106026785714284,0.0056600765306124
