predictor_name,mean_value,std_value
fp_energy_db,-70.2531378537493,5.11451491612911
skewness_pdp,4.08797783157663,1.49492958879533
kurtosis_pdp,32.6320366590793,21.5292653409422
mean_excess_delay_ns,4.19111292280517,1.96108815902788
rms_delay_spread_ns,4.79577515211032,1.91285732521628
gamma_CP_rx1,0.613525629097773,0.563015871578804
gamma_CP_rx2,0.823975112388267,0.692532217677201
a_FP_RHCP_rx1,0.285639770638295,0.0856717575808805
a_FP_LHCP_rx1,0.145555225035072,0.0827483829211744
a_FP_RHCP_rx2,0.286292716249892,0.0929784270239001
a_FP_LHCP_rx2,0.136360398898108,0.103720156077674
