event_type,case_name,scenario,pos_id,x_m,y_m,label,actual_class,baseline_score,proposed_score,score_delta_proposed_minus_baseline,baseline_pred,proposed_pred,baseline_error_type,proposed_error_type,hard_case_mask,gamma_CP_rx1,gamma_CP_rx2,a_FP_LHCP_rx1,a_FP_LHCP_rx2
harmed_by_proposed,CP_caseB,B,6,4.5,-1.75,1,LoS,0.927433467988692,0.119413109414771,-0.808020358573921,1,0,correct,FN_predicted_NLoS_for_LoS,0,-0.237459758088597,1.78932216944281,0.0731759344509683,0.0704636486060411
harmed_by_proposed,CP_caseC,C,16,1.5,-0.75,1,LoS,0.711760646764516,0.473365584374404,-0.238395062390112,1,0,correct,FN_predicted_NLoS_for_LoS,0,0.095665902498196,2.39584826671367,0.257106223019901,0.0790881571895511
harmed_by_proposed,CP_caseC,C,22,0.75,-0.25,1,LoS,0.780138657214143,0.386342818344093,-0.39379583887005,1,0,correct,FN_predicted_NLoS_for_LoS,0,0.317158147212878,1.99094411538369,0.136895438374176,0.055488153704527
rescued_by_proposed,CP_caseB,B,1,0.75,-1.75,1,LoS,0.432391243549603,0.792768629140221,0.36037738559061794,0,1,FN_predicted_NLoS_for_LoS,correct,1,0.703876825260898,0.043232531092477,0.113303193262132,0.311432236067077
rescued_by_proposed,CP_caseB,B,21,5.25,-0.75,0,NLoS,0.723936673025356,0.45590134925413,-0.268035323771226,1,0,FP_predicted_LoS_for_NLoS,correct,0,0.344610380479224,1.35988788596023,0.100261224845175,0.0542168238813563
rescued_by_proposed,CP_caseB,B,27,4.5,-0.25,0,NLoS,0.578064320684016,0.201927953849051,-0.37613636683496504,1,0,FP_predicted_LoS_for_NLoS,correct,1,0.515458178231592,1.59104779240739,0.105076683274994,0.0940960547568524
rescued_by_proposed,CP_caseB,B,34,4.5,0.25,0,NLoS,0.511765145167485,0.368999359629638,-0.14276578553784697,1,0,FP_predicted_LoS_for_NLoS,correct,1,0.603603974005773,1.41458454118775,0.115027820810366,0.145435415304258
rescued_by_proposed,CP_caseB,B,43,0.75,1.25,1,LoS,0.399906405875565,0.93442184659138,0.534515440715815,0,1,FN_predicted_NLoS_for_LoS,correct,0,1.32423155867255,-0.0441450202514789,0.269075478459659,0.351571672843728
rescued_by_proposed,CP_caseB,B,50,0.75,1.75,1,LoS,0.306268467357187,0.815487885157573,0.5092194178003859,0,1,FN_predicted_NLoS_for_LoS,correct,0,0.277521381250725,-0.174287721567211,0.313287454410196,0.23084804962331
rescued_by_proposed,CP_caseB,B,51,1.5,1.75,1,LoS,0.306970470933001,0.886464765284672,0.579494294351671,0,1,FN_predicted_NLoS_for_LoS,correct,0,0.859672498454131,-0.663085338509639,0.236720751109402,0.153799359179408
rescued_by_proposed,CP_caseC,C,1,0.75,-1.75,1,LoS,0.387508989434205,0.805594559529613,0.41808557009540803,0,1,FN_predicted_NLoS_for_LoS,correct,0,0.702963752716057,0.0417525533672905,0.136257789986851,0.301994535052673
rescued_by_proposed,CP_caseC,C,2,1.5,-1.75,1,LoS,0.495536710259368,0.779254265999538,0.28371755574016994,0,1,FN_predicted_NLoS_for_LoS,correct,1,0.609315757308192,0.683719030075102,0.067739700954692,0.169793718332515
rescued_by_proposed,CP_caseC,C,11,3.0,-1.25,0,NLoS,0.554442452882365,0.0465840226015319,-0.5078584302808331,1,0,FP_predicted_LoS_for_NLoS,correct,1,0.311286406930924,1.70864755317129,0.0692134556441964,0.0677388517362495
rescued_by_proposed,CP_caseC,C,31,2.25,0.25,1,LoS,0.441358859506254,0.680279574728176,0.23892071522192204,0,1,FN_predicted_NLoS_for_LoS,correct,1,0.468835150742025,0.759017516727257,0.220311362458596,0.222381482299612
rescued_by_proposed,CP_caseC,C,50,0.75,1.75,1,LoS,0.280525192353514,0.587705028445902,0.307179836092388,0,1,FN_predicted_NLoS_for_LoS,correct,0,0.274344848918001,-0.180099120919538,0.310027905505098,0.220586901383436
