feature_name,mean_los,std_los,mean_nlos,std_nlos,mean_gap_los_minus_nlos
r_CP,6.00770242796964,14.0364781584364,2.60318224612438,6.13883583123588,3.40452018184526
a_FP,0.270143459102278,0.081263089438645,0.206447764046116,0.0976183927605453,0.063695695056162
fp_energy_gap_db,5.31715967122148,1.22980978433627,6.44714932798518,1.64405705091663,-1.1299896567637
rise_time_ns,2.36134873111052,1.04577013644356,3.67791203307874,3.33696087011612,-1.31656330196822
mean_excess_delay_ns,4.21861494175811,1.46004181673549,5.69939529438662,2.32861547241547,-1.48078035262851
rms_delay_spread_ns,4.76345240571581,1.5332141032501,5.70950089667529,1.77559991720174,-0.946048490959478
max_excess_delay_ns,48.4889595808652,32.461457080098,47.1378671229232,7.56727413847854,1.35109245794202
kurtosis_pdp,55.4352447229599,235.050182207505,18.7466266641921,11.9638186093617,36.6886180587678
skewness_pdp,4.61330015860596,2.7943864877517,2.95397636745388,1.16943353272059,1.65932379115208
fp_energy_db,-71.2200180605544,4.3895112314615,-75.7583629343609,5.29564666501634,4.53834487380649
total_energy_db,-65.9028583893329,3.51077902929612,-69.3112136063757,4.12886289256632,3.40835521704277
fp_energy_ratio,0.309558912584785,0.0767547103842905,0.248157909315208,0.0834684946087532,0.061401003269577
fp_amp_norm,0.188448858201163,0.0243653975869182,0.17118640288378,0.0259660060704796,0.0172624553173832
peak_to_leading_db,5.52008027110148,0.685767340673935,5.6139164242529,0.683675799025627,-0.09383615315142
multipath_count,68.6785714285714,14.4320515779372,78.6919642857143,14.0908003877097,-10.0133928571429
ricean_k_db,-8.35452757332022,1.05345816950754,-9.22586847289738,1.22044096633402,0.871340899577167
